"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Carrelhas A.A.D.; Gato L.M.C.","Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885)","57208272722; 7004360885","Reliable control of turbine–generator set for oscillating-water-column wave energy converters: Numerical modelling and field data comparison","2023","Energy Conversion and Management","282","","116811","","","","6","10.1016/j.enconman.2023.116811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149667913&doi=10.1016%2fj.enconman.2023.116811&partnerID=40&md5=253a75f90ea93234d879ce332f23941e","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","Carrelhas A.A.D., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","L.M.C. Gato; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Av. Rovisco Pais 1, 1049-001, Portugal; email: luis.gato@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149667913"
"Ribeiro P.J.C.; Henriques J.C.C.; Campuzano F.J.; Gato L.M.C.; Falcão A.F.O.","Ribeiro, P.J.C. (57220615543); Henriques, J.C.C. (36173947400); Campuzano, F.J. (35271277300); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)","57220615543; 36173947400; 35271277300; 7004360885; 23485073200","A new directional wave spectra characterization for offshore renewable energy applications","2020","Energy","213","","118828","","","","4","10.1016/j.energy.2020.118828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091657563&doi=10.1016%2fj.energy.2020.118828&partnerID=40&md5=165647d688ecaa5b0d59227e637a44cf","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; MARETEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal","Ribeiro P.J.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Campuzano F.J., MARETEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Falcão A.F.O., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal","J.C.C. Henriques; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; email: joaochenriques@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85091657563"
"Carrelhas A.A.D.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.","Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200); Henriques, J.C.C. (36173947400)","57208272722; 7004360885; 23485073200; 36173947400","Control law design for the air-turbine-generator set of a fully submerged 1.5 MW mWave prototype. Part 1: Numerical modelling","2022","Renewable Energy","181","","","1402","1418","16","8","10.1016/j.renene.2021.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116867419&doi=10.1016%2fj.renene.2021.09.011&partnerID=40&md5=67e134e42ba7a20878f315caaa937e50","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","Carrelhas A.A.D., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Falcão A.F.O., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Henriques J.C.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","L.M.C. Gato; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Av. Rovisco Pais 1, 1049-001, Portugal; email: luis.gato@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85116867419"
"Alves J.S.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.","Alves, João S. (57226337827); Gato, Luís M.C. (7004360885); Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400)","57226337827; 7004360885; 23485073200; 36173947400","Experimental investigation on performance improvement by mid-plane guide-vanes in a biplane-rotor Wells turbine for wave energy conversion","2021","Renewable and Sustainable Energy Reviews","150","","111497","","","","15","10.1016/j.rser.2021.111497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111208105&doi=10.1016%2fj.rser.2021.111497&partnerID=40&md5=e38b4d538af6e018360f6754ffa43bdc","Royal Institute of Technology, Stockholm, SE-100 44, Sweden; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","Alves J.S., Royal Institute of Technology, Stockholm, SE-100 44, Sweden; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Falcão A.F.O., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","L.M.C. Gato; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Av. Rovisco Pais 1, 1049-001, Portugal; email: luis.gato@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85111208105"
"Falcão A.F.O.; Henriques J.C.C.; Gomes R.P.F.; Portillo J.C.C.","Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400); Gomes, Rui P.F. (26030969000); Portillo, Juan C.C. (56970941300)","23485073200; 36173947400; 26030969000; 56970941300","Theoretically based correction to model test results of OWC wave energy converters to account for air compressibility effect","2022","Renewable Energy","198","","","41","50","9","11","10.1016/j.renene.2022.08.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135986201&doi=10.1016%2fj.renene.2022.08.034&partnerID=40&md5=50d37f0631f3381f2cbf151b5f3f1cf0","IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","Falcão A.F.O., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Gomes R.P.F., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Portillo J.C.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","A.F.O. Falcão; IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Av. Rovisco Pais 1, 1049-001, Portugal; email: antonio.falcao@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85135986201"
"Lopes B.S.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.","Lopes, Bárbara S. (57205304774); Gato, Luís M.C. (7004360885); Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400)","57205304774; 7004360885; 23485073200; 36173947400","Test results of a novel twin-rotor radial inflow self-rectifying air turbine for OWC wave energy converters","2019","Energy","170","","","869","879","10","16","10.1016/j.energy.2018.12.078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059458126&doi=10.1016%2fj.energy.2018.12.078&partnerID=40&md5=cc02249df165c3d4305cbd45ea8d18c9","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal","Lopes B.S., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Falcão A.F.O., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal","B.S. Lopes; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; email: barbara.lopes@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85059458126"
"Fox B.N.; Gomes R.P.F.; Gato L.M.C.","Fox, Brooklyn N. (57223425273); Gomes, Rui P.F. (26030969000); Gato, Luís M.C. (7004360885)","57223425273; 26030969000; 7004360885","Analysis of oscillating-water-column wave energy converter configurations for integration into caisson breakwaters","2021","Applied Energy","295","","117023","","","","25","10.1016/j.apenergy.2021.117023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105879032&doi=10.1016%2fj.apenergy.2021.117023&partnerID=40&md5=d9ea3bddadc3efede1486c5d0350cf58","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","Fox B.N., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Gomes R.P.F., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal; Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisboa, 1049-001, Portugal","L.M.C. Gato; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Av. Rovisco Pais 1, 1049-001, Portugal; email: luis.gato@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85105879032"
"Portillo J.C.C.; Henriques J.C.C.; Gato L.M.C.; Falcão A.F.O.","Portillo, J.C.C. (56970941300); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)","56970941300; 36173947400; 7004360885; 23485073200","Model tests on a floating coaxial-duct OWC wave energy converter with focus on the spring-like air compressibility effect","2023","Energy","263","","125549","","","","4","10.1016/j.energy.2022.125549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139292614&doi=10.1016%2fj.energy.2022.125549&partnerID=40&md5=62b529c27b9ec8d5f8581aa6cb620806","IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","Portillo J.C.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Gato L.M.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Falcão A.F.O., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","J.C.C. Portillo; IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Av. Rovisco Pais 1, 1049-001, Portugal; email: juan.portillo@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139292614"
"Falcão A.F.O.; Henriques J.C.C.; Gato L.M.C.","Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400); Gato, Luís M.C. (7004360885)","23485073200; 36173947400; 7004360885","Self-rectifying air turbines for wave energy conversion: A comparative analysis","2018","Renewable and Sustainable Energy Reviews","91","","","1231","1241","10","85","10.1016/j.rser.2018.04.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047255219&doi=10.1016%2fj.rser.2018.04.019&partnerID=40&md5=0b12806c93eb38f866d2942b30a3b586","IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","Falcão A.F.O., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Henriques J.C.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal; Gato L.M.C., IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, Lisbon, 1049-001, Portugal","A.F.O. Falcão; IDMEC/LAETA, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Av. Rovisco Pais 1, 1049-001, Portugal; email: antonio.falcao@tecnico.ulisboa.pt","Elsevier Ltd","Review","Final","","Scopus","2-s2.0-85047255219"
"Gato L.M.C.; Ferreira D.N.; Sá D.O.C.","Gato, L.M.C. (7004360885); Ferreira, D.N. (56659095800); Sá, D.O.C. (58088804500)","7004360885; 56659095800; 58088804500","Biradial turbine rotor aerodynamic design and parametric analysis","2023","Energy Conversion and Management","278","","116651","","","","0","10.1016/j.enconman.2022.116651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147291135&doi=10.1016%2fj.enconman.2022.116651&partnerID=40&md5=cc655ca260d5aed15f01835d8c267565","IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, Lisboa, 1049-001, Portugal","Gato L.M.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, Lisboa, 1049-001, Portugal; Ferreira D.N., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, Lisboa, 1049-001, Portugal; Sá D.O.C., IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, Lisboa, 1049-001, Portugal","L.M.C. Gato; IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Av. Rovisco Pais, 1049-001, Portugal; email: luis.gato@tecnico.ulisboa.pt","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147291135"
