Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Ferreira D.N.; Gato L.M.C.; Henriques J.C.C.,"Ferreira, D.N. (56659095800); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400)",56659095800; 7004360885; 36173947400,Permanent magnet generator testing for low-power off-grid oscillating water column wave energy converters,2024,IEEE Transactions on Energy Conversion,,,,1,11,10,0,10.1109/TEC.2024.3368155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186094942&doi=10.1109%2fTEC.2024.3368155&partnerID=40&md5=ed4100e78170874e765a1eb23f0041ba,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85186094942
Carrelhas A.A.D.; Gato L.M.C.; Morais F.J.F.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Morais, F.J.F. (58195797200)",57208272722; 7004360885; 58195797200,Aerodynamic performance and noise emission of different geometries of Wells turbines under design and off-design conditions,2024,Renewable Energy,220,,119622,,,,0,10.1016/j.renene.2023.119622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178231291&doi=10.1016%2fj.renene.2023.119622&partnerID=40&md5=427bd5e0deb4e18d2acd67954358841b,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85178231291
Carrelhas A.A.D.; Gato L.M.C.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885)",57208272722; 7004360885,Reliable control of turbine–generator set for oscillating-water-column wave energy converters: Numerical modelling and field data comparison,2023,Energy Conversion and Management,282,,116811,,,,6,10.1016/j.enconman.2023.116811,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149667913&doi=10.1016%2fj.enconman.2023.116811&partnerID=40&md5=253a75f90ea93234d879ce332f23941e,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85149667913
Governo A.F.L.; Henriques J.C.C.; Gato L.M.C.,"Governo, A.F.L. (59129664800); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885)",59129664800; 36173947400; 7004360885,Modelling mooring line snap loads using a high-order finite-volume approach,2023,Ocean Engineering,275,,113803,,,,2,10.1016/j.oceaneng.2023.113803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150030031&doi=10.1016%2fj.oceaneng.2023.113803&partnerID=40&md5=530eb91540cefbfd39f63e843ae485a0,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85150030031
Portillo J.C.C.; Henriques J.C.C.; Gato L.M.C.; Falcão A.F.O.,"Portillo, J.C.C. (56970941300); Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200)",56970941300; 36173947400; 7004360885; 23485073200,Model tests on a floating coaxial-duct OWC wave energy converter with focus on the spring-like air compressibility effect,2023,Energy,263,,125549,,,,4,10.1016/j.energy.2022.125549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139292614&doi=10.1016%2fj.energy.2022.125549&partnerID=40&md5=62b529c27b9ec8d5f8581aa6cb620806,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85139292614
Gato L.M.C.; Ferreira D.N.; Sá D.O.C.,"Gato, L.M.C. (7004360885); Ferreira, D.N. (56659095800); Sá, D.O.C. (58088804500)",7004360885; 56659095800; 58088804500,Biradial turbine rotor aerodynamic design and parametric analysis,2023,Energy Conversion and Management,278,,116651,,,,0,10.1016/j.enconman.2022.116651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147291135&doi=10.1016%2fj.enconman.2022.116651&partnerID=40&md5=cc655ca260d5aed15f01835d8c267565,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85147291135
Ferreira D.N.; Gato L.M.C.; Eça L.,"Ferreira, D.N. (56659095800); Gato, L.M.C. (7004360885); Eça, L. (6506220240)",56659095800; 7004360885; 6506220240,"Efficiency of biradial impulse turbines concerning rotor blade angle, guide-vane deflection and blockage",2023,Energy,266,,126390,,,,4,10.1016/j.energy.2022.126390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144450203&doi=10.1016%2fj.energy.2022.126390&partnerID=40&md5=31e8ff0b44a6cf43cd5eae2da16b32f3,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85144450203
Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.; Marques G.D.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Marques, G.D. (7006311208)",57208272722; 7004360885; 36173947400; 7006311208,Estimation of generator electrical power output and turbine torque in modelling and field testing of OWC wave energy converters,2023,Energy Conversion and Management: X,19,,100384,,,,3,10.1016/j.ecmx.2023.100384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159632362&doi=10.1016%2fj.ecmx.2023.100384&partnerID=40&md5=d4d2f87dbadeab966ceb70577edecd3e,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85159632362
Portillo J.C.C.; Gato L.M.C.; Henriques J.C.C.; Falcão A.F.O.,"Portillo, J.C.C. (56970941300); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Falcão, A.F.O. (23485073200)",56970941300; 7004360885; 36173947400; 23485073200,Implications of spring-like air compressibility effects in floating coaxial-duct OWCs: Experimental and numerical investigation,2023,Renewable Energy,212,,,478,491,13,3,10.1016/j.renene.2023.04.143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159864591&doi=10.1016%2fj.renene.2023.04.143&partnerID=40&md5=a3514be09621a8ed15d5af66f9212d1d,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85159864591
Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400)",57208272722; 7004360885; 36173947400,Peak shaving control in OWC wave energy converters: From concept to implementation in the Mutriku wave power plant,2023,Renewable and Sustainable Energy Reviews,180,,113299,,,,5,10.1016/j.rser.2023.113299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154614861&doi=10.1016%2fj.rser.2023.113299&partnerID=40&md5=5421ddbb6836f1865a9941352f56ffaf,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85154614861
