"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Mohapatra P.; Vijay K.G.; Bhattacharyya A.; Sahoo T.","Mohapatra, Piyush (57209112604); Vijay, K.G. (57193831401); Bhattacharyya, Anirban (56379615700); Sahoo, Trilochan (7004215371)","57209112604; 57193831401; 56379615700; 7004215371","Influence of distinct bottom geometries on the hydrodynamic performance of an OWC device","2023","Energy","277","","127605","","","","0","10.1016/j.energy.2023.127605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153850987&doi=10.1016%2fj.energy.2023.127605&partnerID=40&md5=1c8691a2273d50a7e7306a0726723d4d","Article","Scopus","2-s2.0-85153850987"
"Hasan Maheen M.; Yang Y.","Hasan Maheen, Mahmodul (58234905100); Yang, Yingchen (14831842700)","58234905100; 14831842700","Wave energy converters with rigid hull encapsulation: A review","2023","Sustainable Energy Technologies and Assessments","57","","103273","","","","0","10.1016/j.seta.2023.103273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158036364&doi=10.1016%2fj.seta.2023.103273&partnerID=40&md5=b3b2772563e2e7bfbdb17410534b8d02","Review","Scopus","2-s2.0-85158036364"
"Singh M.; Gayen R.","Singh, Mansi (57563814800); Gayen, R. (55200772300)","57563814800; 55200772300","Performance of two vertically submerged piezoelectric plate wave energy converters in presence of a non-flat flexible barrier","2023","Renewable Energy","212","","","382","393","11","0","10.1016/j.renene.2023.05.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159872240&doi=10.1016%2fj.renene.2023.05.040&partnerID=40&md5=d9d45f677a0dca1075474b51f4f101cb","Article","Scopus","2-s2.0-85159872240"
"Neary V.S.; Ahn S.","Neary, Vincent S. (6701367686); Ahn, Seongho (57205417583)","6701367686; 57205417583","Global atlas of extreme significant wave heights and relative risk ratios","2023","Renewable Energy","208","","","130","140","10","0","10.1016/j.renene.2023.03.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150799613&doi=10.1016%2fj.renene.2023.03.079&partnerID=40&md5=5cc8186a4837ca3000589ed7b20aeb56","Article","Scopus","2-s2.0-85150799613"
"den Bieman J.P.; de Ridder M.P.; Irías Mata M.; van Nieuwkoop J.C.C.","den Bieman, Joost P. (57103563600); de Ridder, Menno P. (57215542728); Irías Mata, Marisol (58069227900); van Nieuwkoop, Joana C.C. (55332408200)","57103563600; 57215542728; 58069227900; 55332408200","Hybrid modelling to improve operational wave forecasts by combining process-based and machine learning models","2023","Applied Ocean Research","136","","103583","","","","0","10.1016/j.apor.2023.103583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158900388&doi=10.1016%2fj.apor.2023.103583&partnerID=40&md5=9927c4866e1a6304da9b288cfc1e2f95","Article","Scopus","2-s2.0-85158900388"
"Du X.; Du L.; Li P.; Liu X.; Han Y.; Yu H.; Tao K.; Tang L.","Du, Xiaozhen (8667204800); Du, Lixiang (57395198300); Li, Pengkai (58170889000); Liu, Xiaotong (58171689000); Han, Yi (57930458300); Yu, Hong (57192386543); Tao, Kai (57200201289); Tang, Lihua (34873882100)","8667204800; 57395198300; 58170889000; 58171689000; 57930458300; 57192386543; 57200201289; 34873882100","A dielectric elastomer and electret hybrid ocean wave power generator with oscillating water column","2023","Nano Energy","111","","108417","","","","0","10.1016/j.nanoen.2023.108417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151679412&doi=10.1016%2fj.nanoen.2023.108417&partnerID=40&md5=b2392edfaed9a074cebbe6ffb8fedcf5","Article","Scopus","2-s2.0-85151679412"
"Wang N.; Chen Q.; Zhu L.","Wang, Nan (57497375500); Chen, Qin (8308841700); Zhu, Ling (56252448900)","57497375500; 8308841700; 56252448900","Data-driven modeling of Bay-Ocean wave spectra at bridge-tunnel crossing of Chesapeake Bay, USA","2023","Applied Ocean Research","135","","103537","","","","0","10.1016/j.apor.2023.103537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150831705&doi=10.1016%2fj.apor.2023.103537&partnerID=40&md5=19d9929d523ef13bdb6db42e91298413","Article","Scopus","2-s2.0-85150831705"
"Rezaei S.; Rahimi A.; Parvizian J.; Mansoorzadeh S.","Rezaei, Saeed (57841132100); Rahimi, Amir (58183892100); Parvizian, Jamshid (6507867764); Mansoorzadeh, Shahriar (15739726900)","57841132100; 58183892100; 6507867764; 15739726900","Experimental and numerical study of a novel unidirectional mechanical power take-off system for two-body wave energy converters","2023","Energy Conversion and Management: X","19","","100385","","","","0","10.1016/j.ecmx.2023.100385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153177331&doi=10.1016%2fj.ecmx.2023.100385&partnerID=40&md5=0acb1b9ac0e6d8ec4e4356348dd2e597","Article","Scopus","2-s2.0-85153177331"
"Cui Y.; Zhang F.; Chen Z.","Cui, Yingjie (57222477160); Zhang, Fei (57226767861); Chen, Zhongxian (55822692500)","57222477160; 57226767861; 55822692500","Predication of Ocean Wave Height for Ocean Wave Energy Conversion System","2023","Energies","16","9","3841","","","","0","10.3390/en16093841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159372046&doi=10.3390%2fen16093841&partnerID=40&md5=5b7923207d75f217ccaa80a5718da426","Article","Scopus","2-s2.0-85159372046"
"Fan K.; Wang C.; Zhang Y.; Guo J.; Li R.; Wang F.; Tan Q.","Fan, Kangqi (9334619000); Wang, Chenyu (57222902257); Zhang, Yan (57226132178); Guo, Jiyuan (57226372285); Li, Rongchun (57682578200); Wang, Fei (56288548400); Tan, Qinxue (57201325169)","9334619000; 57222902257; 57226132178; 57226372285; 57682578200; 56288548400; 57201325169","Modeling and experimental verification of a pendulum-based low-frequency vibration energy harvester","2023","Renewable Energy","211","","","100","111","11","0","10.1016/j.renene.2023.04.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153801729&doi=10.1016%2fj.renene.2023.04.136&partnerID=40&md5=30ba453b8332c6fe2421c9befbd135b2","Article","Scopus","2-s2.0-85153801729"
