Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Falcão, A.F.d.O.","23485073200","Wave energy utilization: A review of the technologies",2010,"Renewable and Sustainable Energy Reviews",14,"3",,899,918,,2044,10.1016/j.rser.2009.11.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-74449090123&partnerID=40&md5=01aafddeeb47b857462abca030fd36a1",Review,Final,"",Scopus,2-s2.0-74449090123
"Drew, B., Plummer, A.R., Sahinkaya, M.N.","21741841800; 8251308600; 7003693882","A review of wave energy converter technology",2009,"Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy",223,"8",,887,902,,872,10.1243/09576509JPE782,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649099635&partnerID=40&md5=2b3339223fd08925b2608c3fd1d4a1a8",Review,Final,"",Scopus,2-s2.0-72649099635
"Clément, A., McCullen, P., Falcão, A., Fiorentino, A., Gardner, F., Hammarlund, K., Lemonis, G., Lewis, T., Nielsen, K., Petroncini, S., Pontes, M.-T., Schild, P., Sjöström, B.-O., Sørensen, H.C., Thorpe, T.","7102139422; 7801592936; 23485073200; 44361821900; 7103300080; 7003612778; 6602311164; 16219467700; 23566831900; 6508168227; 55911279700; 57209283934; 7006179752; 7201376624; 7005074994","Wave energy in Europe: Current status and perspectives",2002,"Renewable and Sustainable Energy Reviews",6,"5",,405,431,,840,10.1016/S1364-0321(02)00009-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036776314&partnerID=40&md5=a1925474155fbedc0c7b02307ee8f03c",Review,Final,"",Scopus,2-s2.0-0036776314
"Falnes, J.","7004261660","A review of wave-energy extraction",2007,"Marine Structures",20,"4",,185,201,,812,10.1016/j.marstruc.2007.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-36349023758&partnerID=40&md5=ec662a09308b1a34753ced0e4bdf81c2",Review,Final,"",Scopus,2-s2.0-36349023758
"Wang, Z.L., Jiang, T., Xu, L.","56430045300; 56587265900; 57026618200","Toward the blue energy dream by triboelectric nanogenerator networks",2017,"Nano Energy",39,"",,9,23,,734,10.1016/j.nanoen.2017.06.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021305452&partnerID=40&md5=3e1a82059ff036342485f6d366deaae7",Review,Final,"",Scopus,2-s2.0-85021305452
"Falcão, A.F.O., Henriques, J.C.C.","23485073200; 36173947400","Oscillating-water-column wave energy converters and air turbines: A review",2016,"Renewable Energy",85,"",,1391,1424,,598,10.1016/j.renene.2015.07.086,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944441314&partnerID=40&md5=6b70cd8836957de04297aef31d7a80f6",Review,Final,"",Scopus,2-s2.0-84944441314
"Babarit, A., Hals, J., Muliawan, M.J., Kurniawan, A., Moan, T., Krokstad, J.","6505871520; 22834280400; 53867068100; 56235289300; 7005800085; 6602425587","Numerical benchmarking study of a selection of wave energy converters",2012,"Renewable Energy",41,"",,44,63,,560,10.1016/j.renene.2011.10.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84155172206&partnerID=40&md5=13931ac513b875366278a438ca8622bb",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84155172206
"López, I., Andreu, J., Ceballos, S., Martínez De Alegría, I., Kortabarria, I.","55768165500; 9334203300; 19640066400; 57203977268; 16239344200","Review of wave energy technologies and the necessary power-equipment",2013,"Renewable and Sustainable Energy Reviews",27,"",,413,434,,540,10.1016/j.rser.2013.07.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881186824&partnerID=40&md5=aed5d6a48782518088678f1437cad365",Review,Final,"",Scopus,2-s2.0-84881186824
"Gunn, K., Stock-Williams, C.","35191724800; 54998017800","Quantifying the global wave power resource",2012,"Renewable Energy",44,"",,296,304,,438,10.1016/j.renene.2012.01.101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858292283&partnerID=40&md5=59a9b481b8c75aef6aa1fd23d6d1288e",Article,Final,"",Scopus,2-s2.0-84858292283
"Pérez-Collazo, C., Greaves, D., Iglesias, G.","56401146800; 7102627638; 56261589800","A review of combined wave and offshore wind energy",2015,"Renewable and Sustainable Energy Reviews",42,"",,141,153,,408,10.1016/j.rser.2014.09.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908459539&partnerID=40&md5=11429e170d3c8a4aa1bd0d2195d539dc",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84908459539
