"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Zheng S.; Zhang Y.; Iglesias G.","Zheng, Siming (55553935700); Zhang, Yongliang (55739875300); Iglesias, Gregorio (56261589800)","55553935700; 55739875300; 56261589800","Coast/breakwater-integrated OWC: A theoretical model","2019","Marine Structures","66","","","121","135","14","81","10.1016/j.marstruc.2019.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064593483&doi=10.1016%2fj.marstruc.2019.04.001&partnerID=40&md5=1b652b8612c7d4d8c309107548af33e0","School of Engineering, University of Plymouth, Drake Circus, Plymouth, PL4 8AA, United Kingdom; State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 100084, China; Centre for Marine and Renewable Energy Ireland (MaREI), Environmental Research Institute & School of Engineering, University College Cork, Ireland","Zheng S., School of Engineering, University of Plymouth, Drake Circus, Plymouth, PL4 8AA, United Kingdom; Zhang Y., State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 100084, China; Iglesias G., School of Engineering, University of Plymouth, Drake Circus, Plymouth, PL4 8AA, United Kingdom, Centre for Marine and Renewable Energy Ireland (MaREI), Environmental Research Institute & School of Engineering, University College Cork, Ireland","G. Iglesias; School of Engineering, University of Plymouth, Plymouth, Drake Circus, PL4 8AA, United Kingdom; email: gregorio.iglesias@ucc.ie","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85064593483"
"Jin P.; Zhou B.; Göteman M.; Chen Z.; Zhang L.","Jin, Peng (57191201587); Zhou, Binzhen (7401906874); Göteman, Malin (36645791600); Chen, Zhongfei (57202324503); Zhang, Liang (55867632800)","57191201587; 7401906874; 36645791600; 57202324503; 55867632800","Performance optimization of a coaxial-cylinder wave energy converter","2019","Energy","174","","","450","459","9","38","10.1016/j.energy.2019.02.189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062700642&doi=10.1016%2fj.energy.2019.02.189&partnerID=40&md5=2645d10542aac65efc9104f91dc93426","College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Department of Engineering Science, University of Oxford, Oxford, OX1 3PJ, United Kingdom; Department of Engineering Science, Uppsala University, Uppsala, 75121, Sweden","Jin P., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Zhou B., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China, Department of Engineering Science, University of Oxford, Oxford, OX1 3PJ, United Kingdom; Göteman M., Department of Engineering Science, Uppsala University, Uppsala, 75121, Sweden; Chen Z., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Zhang L., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China","B. Zhou; College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; email: zhoubinzhen@hrbeu.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85062700642"
"Jin S.; Patton R.J.; Guo B.","Jin, Siya (57195493070); Patton, Ron J. (7102332490); Guo, Bingyong (57192257520)","57195493070; 7102332490; 57192257520","Enhancement of wave energy absorption efficiency via geometry and power take-off damping tuning","2019","Energy","169","","","819","832","13","56","10.1016/j.energy.2018.12.074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058715574&doi=10.1016%2fj.energy.2018.12.074&partnerID=40&md5=df23c51e7c812788d3ca6cae519d5c4d","School of Engineering and Computer Science, University of Hull, HU6 7RX, Hull, United Kingdom; College of Engineering, Mathematic and Physical Sciences, University of Exeter, North Park Road, Exeter, EX4 4QF, United Kingdom","Jin S., School of Engineering and Computer Science, University of Hull, HU6 7RX, Hull, United Kingdom; Patton R.J., School of Engineering and Computer Science, University of Hull, HU6 7RX, Hull, United Kingdom; Guo B., College of Engineering, Mathematic and Physical Sciences, University of Exeter, North Park Road, Exeter, EX4 4QF, United Kingdom","R.J. Patton; School of Engineering and Computer Science, University of Hull, HU6 7RX, United Kingdom; email: r.j.patton@hull.ac.uk","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85058715574"
"Windt C.; Faedo N.; Penalba M.; Dias F.; Ringwood J.V.","Windt, Christian (56469469600); Faedo, Nicolás (57202423440); Penalba, Markel (57190173438); Dias, Frederic (7102398944); Ringwood, John V. (6603725188)","56469469600; 57202423440; 57190173438; 7102398944; 6603725188","Reactive control of wave energy devices – the modelling paradox","2021","Applied Ocean Research","109","","102574","","","","40","10.1016/j.apor.2021.102574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101882427&doi=10.1016%2fj.apor.2021.102574&partnerID=40&md5=d1868608353352c07e595d0cd71dbca5","Centre for Ocean Energy Research, Maynooth University, Co. Kildare, Ireland; Leichtweiß–Institute for Hydraulic Engineering and Water Resources, Technische Universität Braunschweig, 38106, Braunschweig, Germany; Mechanical and Industrial Production Department, Faculty of Engineering, Mondragon Unibertsitatea, Mondragon, Spain; School of Mathematics and Statistics, University College Dublin, Dublin, Ireland","Windt C., Centre for Ocean Energy Research, Maynooth University, Co. Kildare, Ireland, Leichtweiß–Institute for Hydraulic Engineering and Water Resources, Technische Universität Braunschweig, 38106, Braunschweig, Germany; Faedo N., Centre for Ocean Energy Research, Maynooth University, Co. Kildare, Ireland; Penalba M., Mechanical and Industrial Production Department, Faculty of Engineering, Mondragon Unibertsitatea, Mondragon, Spain; Dias F., School of Mathematics and Statistics, University College Dublin, Dublin, Ireland; Ringwood J.V., Centre for Ocean Energy Research, Maynooth University, Co. Kildare, Ireland","C. Windt; Centre for Ocean Energy Research, Maynooth University, Ireland; email: christian.windt.2017@mumail.ie","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101882427"
"Ren N.; Ma Z.; Shan B.; Ning D.; Ou J.","Ren, Nianxin (33368198400); Ma, Zhe (55479116300); Shan, Baohua (26434926700); Ning, Dezhi (7005820185); Ou, Jinping (57211125450)","33368198400; 55479116300; 26434926700; 7005820185; 57211125450","Experimental and numerical study of dynamic responses of a new combined TLP type floating wind turbine and a wave energy converter under operational conditions","2020","Renewable Energy","151","","","966","974","8","66","10.1016/j.renene.2019.11.095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081077136&doi=10.1016%2fj.renene.2019.11.095&partnerID=40&md5=d8cbf78c1bd1640190a79fad7374cd8b","College of Civil Engineering and Architecture, Hainan University, Haikou, 570228, China; State Key Laboratory of Coast and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; School of Civil Engineering, Harbin Institute of Technology, Harbin, 15090, China","Ren N., College of Civil Engineering and Architecture, Hainan University, Haikou, 570228, China, State Key Laboratory of Coast and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; Ma Z., State Key Laboratory of Coast and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; Shan B., School of Civil Engineering, Harbin Institute of Technology, Harbin, 15090, China; Ning D., State Key Laboratory of Coast and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; Ou J., State Key Laboratory of Coast and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China","B. Shan; School of Civil Engineering, Harbin Institute of Technology, Harbin, 15090, China; email: shanbaohua@hit.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85081077136"
"López I.; Carballo R.; Taveira-Pinto F.; Iglesias G.","López, I. (23005118500); Carballo, R. (35291563900); Taveira-Pinto, F. (56423223800); Iglesias, G. (56261589800)","23005118500; 35291563900; 56423223800; 56261589800","Sensitivity of OWC performance to air compressibility","2020","Renewable Energy","145","","","1334","1347","13","40","10.1016/j.renene.2019.06.076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067846399&doi=10.1016%2fj.renene.2019.06.076&partnerID=40&md5=c8e2571507cf27e8bbfdfe3e38023b4e","University of Santiago de Compostela, Hydraulic Engineering, Campus Universitario s/n, Lugo, 27002, Spain; Faculty of Engineering of the University of Porto, Department of Civil Engineering, Rua Dr. Roberto Frias, s/n, Porto, 4200-465, Portugal; University College Cork, School of Engineering & MaREI, Environmental Research Institute, Cork, Ireland; University of Plymouth, School of Engineering, Marine Building, Drakes Circus, Plymouth, PL4 8AA, United Kingdom","López I., University of Santiago de Compostela, Hydraulic Engineering, Campus Universitario s/n, Lugo, 27002, Spain, Faculty of Engineering of the University of Porto, Department of Civil Engineering, Rua Dr. Roberto Frias, s/n, Porto, 4200-465, Portugal; Carballo R., University of Santiago de Compostela, Hydraulic Engineering, Campus Universitario s/n, Lugo, 27002, Spain; Taveira-Pinto F., Faculty of Engineering of the University of Porto, Department of Civil Engineering, Rua Dr. Roberto Frias, s/n, Porto, 4200-465, Portugal; Iglesias G., University College Cork, School of Engineering & MaREI, Environmental Research Institute, Cork, Ireland, University of Plymouth, School of Engineering, Marine Building, Drakes Circus, Plymouth, PL4 8AA, United Kingdom","G. Iglesias; University College Cork, School of Engineering & MaREI, Environmental Research Institute, Cork, Ireland; email: gregorio.iglesias@ucc.ie","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85067846399"
"Desouky M.A.A.; Abdelkhalik O.","Desouky, Mohammed A.A. (57201313388); Abdelkhalik, Ossama (57202953873)","57201313388; 57202953873","Wave prediction using wave rider position measurements and NARX network in wave energy conversion","2019","Applied Ocean Research","82","","","10","21","11","50","10.1016/j.apor.2018.10.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055961095&doi=10.1016%2fj.apor.2018.10.016&partnerID=40&md5=bee275718b15acb5b28b8d0da8041ee3","Michigan Technological University, MI, United States; Iowa State University, IA, United States","Desouky M.A.A., Michigan Technological University, MI, United States; Abdelkhalik O., Iowa State University, IA, United States","M.A.A. Desouky; Michigan Technological University, ME-EM Department, Houghton, 1400 Townsend Dr., 815 R.L. Smith ME-EM Building, 49931, United States; email: madesouk@mtu.edu","Elsevier Ltd","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85055961095"
"Mahmoodi K.; Ghassemi H.; Razminia A.","Mahmoodi, Kumars (57201668097); Ghassemi, Hassan (23008523400); Razminia, Abolhassan (36816482100)","57201668097; 23008523400; 36816482100","Temporal and spatial characteristics of wave energy in the Persian Gulf based on the ERA5 reanalysis dataset","2019","Energy","187","","115991","","","","58","10.1016/j.energy.2019.115991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071300770&doi=10.1016%2fj.energy.2019.115991&partnerID=40&md5=a59c903ba9dc3c813d89f4995b0bab0b","Department of Maritime Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran; Department of Electrical Engineering, School of Engineering, Persian Gulf University, Bushehr, Iran","Mahmoodi K., Department of Maritime Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran; Ghassemi H., Department of Maritime Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran; Razminia A., Department of Electrical Engineering, School of Engineering, Persian Gulf University, Bushehr, Iran","H. Ghassemi; Department of Maritime Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran; email: gasemi@aut.ac.ir","Elsevier Ltd","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85071300770"
"Cheng Y.; Fu L.; Dai S.; Collu M.; Ji C.; Yuan Z.; Incecik A.","Cheng, Yong (55487738000); Fu, Lei (57260153200); Dai, Saishuai (56849824000); Collu, Maurizio (25924785400); Ji, Chunyan (26867833600); Yuan, Zhiming (56050831400); Incecik, Atilla (7003453599)","55487738000; 57260153200; 56849824000; 25924785400; 26867833600; 56050831400; 7003453599","Experimental and numerical investigation of WEC-type floating breakwaters: A single-pontoon oscillating buoy and a dual-pontoon oscillating water column","2022","Coastal Engineering","177","","104188","","","","50","10.1016/j.coastaleng.2022.104188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135889703&doi=10.1016%2fj.coastaleng.2022.104188&partnerID=40&md5=aad2573c66850691d705a890967716c4","School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom","Cheng Y., School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Fu L., School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Dai S., Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom; Collu M., Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom; Ji C., School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Yuan Z., School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China, Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom; Incecik A., Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom","S. Dai; Naval Architecture, Ocean and Marine Engineering Department, University of Strathclyde, Glasgow, United Kingdom; email: saishuai.dai@strath.ac.uk","Elsevier B.V.","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85135889703"
"Keiner D.; Salcedo-Puerto O.; Immonen E.; van Sark W.G.J.H.M.; Nizam Y.; Shadiya F.; Duval J.; Delahaye T.; Gulagi A.; Breyer C.","Keiner, Dominik (57208488961); Salcedo-Puerto, Orlando (57383349500); Immonen, Ekaterina (57383994500); van Sark, Wilfried G.J.H.M. (35876762700); Nizam, Yoosuf (55655812100); Shadiya, Fathmath (57219903094); Duval, Justine (57382686500); Delahaye, Timur (57511656500); Gulagi, Ashish (57193388778); Breyer, Christian (39761029000)","57208488961; 57383349500; 57383994500; 35876762700; 55655812100; 57219903094; 57382686500; 57511656500; 57193388778; 39761029000","Powering an island energy system by offshore floating technologies towards 100% renewables: A case for the Maldives","2022","Applied Energy","308","","118360","","","","41","10.1016/j.apenergy.2021.118360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121644533&doi=10.1016%2fj.apenergy.2021.118360&partnerID=40&md5=66012d802e251b1c327f12e5b1273c62","School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland; Utrecht University, Copernicus Institute of Sustainable Development, Princetonlaan 8a, CB Utrecht, 3584, Netherlands; Faculty of Engineering, Science and Technology, The Maldives National University, Malé, 20371, Maldives; École Polytechnique, Palaiseau, 91128, France; CorPower Ocean AB, Stockholm, 126 30, Sweden","Keiner D., School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland; Salcedo-Puerto O., School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland; Immonen E., School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland; van Sark W.G.J.H.M., Utrecht University, Copernicus Institute of Sustainable Development, Princetonlaan 8a, CB Utrecht, 3584, Netherlands; Nizam Y., Faculty of Engineering, Science and Technology, The Maldives National University, Malé, 20371, Maldives; Shadiya F., Faculty of Engineering, Science and Technology, The Maldives National University, Malé, 20371, Maldives; Duval J., École Polytechnique, Palaiseau, 91128, France, CorPower Ocean AB, Stockholm, 126 30, Sweden; Delahaye T., CorPower Ocean AB, Stockholm, 126 30, Sweden; Gulagi A., School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland; Breyer C., School of Energy Systems, LUT University, Yliopistonkatu 34, Lappeenranta, 53850, Finland","D. Keiner; School of Energy Systems, LUT University, Lappeenranta, Yliopistonkatu 34, 53850, Finland; email: dominik.keiner@lut.fi","Elsevier Ltd","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85121644533"
